Using cpu device
Logging to runs/pponew/PPO_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 74.4     |
|    ep_rew_mean     | 0        |
| time/              |          |
|    fps             | 1084     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 78.3       |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 895        |
|    iterations           | 2          |
|    time_elapsed         | 4          |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.01219989 |
|    clip_fraction        | 0.123      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.94      |
|    explained_variance   | 0.596      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00189   |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.011     |
|    value_loss           | 0.0085     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 77.6       |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 866        |
|    iterations           | 3          |
|    time_elapsed         | 7          |
|    total_timesteps      | 6144       |
| train/                  |            |
|    approx_kl            | 0.01175979 |
|    clip_fraction        | 0.0959     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.93      |
|    explained_variance   | 0.885      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0272     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.0113    |
|    value_loss           | 0.00226    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 77.9       |
|    ep_rew_mean          | 0          |
| time/                   |            |
|    fps                  | 840        |
|    iterations           | 4          |
|    time_elapsed         | 9          |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.01182303 |
|    clip_fraction        | 0.0908     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.92      |
|    explained_variance   | 0.756      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0233    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0102    |
|    value_loss           | 0.0012     |
