Using cpu device
Logging to runs/pponew/PPO_4
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 82.6     |
|    ep_rew_mean     | 0        |
| time/              |          |
|    fps             | 1225     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79.8        |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 938         |
|    iterations           | 2           |
|    time_elapsed         | 4           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.011150394 |
|    clip_fraction        | 0.0804      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | -6.27       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0426      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00734    |
|    value_loss           | 0.00414     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79.4        |
|    ep_rew_mean          | 0           |
| time/                   |             |
|    fps                  | 879         |
|    iterations           | 3           |
|    time_elapsed         | 6           |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.013917381 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.0364      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00722     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0106     |
|    value_loss           | 0.000504    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 79.4         |
|    ep_rew_mean          | 0            |
| time/                   |              |
|    fps                  | 859          |
|    iterations           | 4            |
|    time_elapsed         | 9            |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0059822965 |
|    clip_fraction        | 0.0414       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.93        |
|    explained_variance   | 0.694        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00196     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0067      |
|    value_loss           | 0.000183     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.5        |
|    ep_rew_mean          | 1           |
| time/                   |             |
|    fps                  | 843         |
|    iterations           | 5           |
|    time_elapsed         | 12          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.009950841 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.712       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00715    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00945    |
|    value_loss           | 9.32e-05    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.2         |
|    ep_rew_mean          | 1            |
| time/                   |              |
|    fps                  | 834          |
|    iterations           | 6            |
|    time_elapsed         | 14           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0027653119 |
|    clip_fraction        | 0.00718      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.92        |
|    explained_variance   | 0.000786     |
|    learning_rate        | 0.0003       |
|    loss                 | 11.9         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0012      |
|    value_loss           | 36.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
